country,year,ear_l9l5_noc_rt
can,1999,1.8
can,2002,1.8
can,2007,1.9
arm,2008,1.9
bel,1999,1.7
bel,2000,1.7
bel,2008,1.7
bel,2009,1.7
aus,2007,1.9
aus,2010,2.0
bra,2005,2.7
col,1999,2.5
col,2002,2.3
col,2007,2.4
col,2010,2.3
isr,2004,2.8
isr,2006,2.8
isr,2007,2.8
isr,2008,2.8
cri,2006,2.4
fra,2008,2.0
ecu,2001,2.2
ecu,2005,2.4
hun,1998,2.2
hun,2003,2.3
deu,1995,1.8
deu,2004,1.7
deu,2010,1.8
cze,1997,1.7
cze,1999,1.7
cze,2010,1.8
fin,1999,1.6
fin,2007,1.7
irl,2009,2.1
dnk,2008,1.7
nor,2003,1.5
nor,2008,1.5
ita,2004,1.7
lva,2008,2.8
lva,2009,2.7
jpn,2009,1.8
lux,2009,2.3
mex,1997,2.4
nld,1995,1.7
nld,1997,1.7
nld,2001,1.8
kor,2000,1.9
kor,2001,2.0
kor,2006,2.1
per,1997,2.2
per,1999,2.7
per,2002,2.5
swe,2005,1.6
swe,2007,1.6
svk,2002,1.9
svk,2009,2.0
pan,1995,2.6
prt,1999,2.6
tur,2007,2.2
tur,2010,2.2
gbr,1997,2.1
gbr,2009,2.2
usa,1997,2.2
usa,2000,2.2
usa,2004,2.3
usa,2011,2.4
ury,2003,2.3
ury,2008,2.3
ury,2009,2.3
ury,2010,2.3
ven,2004,1.9
ven,2009,1.7
aze,1996,3.0
arg,1997,2.2
aze,2000,2.8
chl,2009,2.9
bel,2002,1.7
aus,2002,1.8
aus,2006,1.9
aus,2009,2.0
bih,2007,2.2
bra,1995,3.2
aut,2009,1.9
aut,2010,1.9
col,2005,2.3
col,2006,2.1
hnd,2003,2.4
hnd,2010,2.3
isr,2009,2.7
cri,1996,2.3
cri,1998,2.3
ecu,1995,2.1
ecu,2003,2.3
ecu,2009,2.4
ecu,2011,2.3
hun,2002,2.3
deu,2002,1.6
deu,2005,1.7
deu,2006,1.7
grc,2008,2.1
fin,2006,1.7
dnk,2003,1.7
dnk,2006,1.7
nor,2002,1.4
nor,2005,1.5
lva,2010,2.8
jpn,1995,1.8
jpn,2001,1.8
jpn,2008,1.8
mex,2008,2.1
kor,1999,1.9
kor,2003,2.0
mda,2008,2.0
per,2000,2.3
per,2008,2.2
per,2009,2.2
swe,2010,1.6
swe,2011,1.6
pol,2006,2.1
pol,2008,2.0
svk,2006,2.0
svk,2010,2.0
prt,2005,2.5
pan,2000,2.5
gbr,1999,2.1
usa,2006,2.3
usa,2008,2.3
ury,2002,2.3
ven,1995,1.9
ven,2001,2.3
ven,2005,1.9
aze,1997,3.6
arg,1996,2.2
arg,2002,2.4
arg,2003,2.4
arg,2010,2.0
can,1998,1.8
can,2000,1.8
can,2010,1.9
can,2011,1.9
chl,2000,3.1
bel,2005,1.7
aus,1998,1.8
aus,2005,1.9
col,2000,2.5
col,2003,2.4
col,2009,2.3
hnd,2000,0.0
hnd,2001,2.5
hnd,2004,2.5
cri,1995,2.3
cri,2005,2.4
fra,1997,1.9
hun,2000,2.3
hun,2004,2.3
hun,2007,2.4
deu,1996,1.8
deu,1997,1.7
isl,2008,1.8
deu,2000,1.8
est,2008,2.0
grc,2010,2.0
cze,2000,1.8
cze,2008,1.8
fin,2000,1.6
fin,2002,1.6
irl,2004,2.1
irl,2006,2.1
dnk,1998,1.7
nor,1999,1.4
nor,2004,1.5
ita,2000,1.5
ita,2002,1.6
jpn,2000,1.8
jpn,2003,1.8
jpn,2005,1.9
jpn,2006,1.9
lux,2008,2.3
mex,2000,2.3
mex,2005,2.1
nzl,2011,2.0
nld,1996,1.7
nld,2005,1.8
kor,1997,1.9
per,1998,2.3
swe,2006,1.6
pol,1996,2.0
pol,2001,2.0
pol,2004,2.1
svk,2003,2.0
svk,2008,2.0
prt,1996,2.5
prt,2006,2.5
prt,2008,2.5
gbr,2003,2.2
gbr,2006,2.2
gbr,2007,2.2
usa,1998,2.2
usa,2003,2.3
usa,2010,2.4
ury,2001,2.3
ury,2004,2.3
ury,2006,2.3
ven,2007,1.8
arg,1999,2.3
arg,2001,2.3
arg,2005,2.2
aze,2001,2.1
aze,2002,2.8
can,2004,1.8
can,2008,1.9
arm,2009,1.8
bra,1996,3.1
bra,2001,2.9
bra,2002,2.9
bra,2006,2.7
aut,2004,1.9
aut,2005,1.9
aut,2008,1.9
col,1996,2.4
hnd,1995,2.4
hnd,1996,2.2
hnd,1999,2.4
hnd,2007,2.4
isr,2005,2.8
cri,2000,2.3
fra,2006,2.0
ecu,1998,2.4
ecu,2002,2.3
ecu,2004,2.5
hun,2005,2.3
isl,2007,1.8
deu,2003,1.6
deu,2009,1.8
est,2007,2.1
grc,2007,2.0
cze,1996,1.7
cze,2004,1.8
irl,2003,2.0
irl,2008,2.0
dnk,1996,1.7
nor,2009,1.5
ita,2008,1.6
ita,2010,1.5
lva,2011,2.7
jpn,1997,1.8
mlt,2009,1.6
mlt,2010,1.6
jpn,2010,1.8
ltu,2010,2.2
mex,1996,2.4
nzl,1999,1.9
nzl,2005,2.0
nzl,2006,1.9
nzl,2010,2.0
nld,2003,1.8
kor,1995,1.8
kor,2004,2.1
kor,2007,2.1
esp,2007,2.2
esp,2008,2.2
per,2003,2.4
per,2006,2.3
swe,2009,1.6
pol,1999,2.0
svk,2005,2.0
prt,2002,2.5
prt,2007,2.5
prt,2009,2.5
pan,1999,2.4
pan,2001,2.3
tur,2006,2.3
ury,2000,2.3
ven,1998,2.3
aze,2005,1.9
aze,2007,2.8
arm,2010,2.0
aus,2001,1.9
bra,2003,2.8
bra,2007,2.6
col,1998,2.6
hnd,1998,2.2
isr,1995,2.4
isr,1999,2.5
isr,2003,2.8
cri,2003,2.4
fra,1996,1.9
fra,1998,1.9
fra,2001,2.0
fra,2009,2.0
ecu,2000,2.2
hun,1996,2.1
hun,2001,2.2
hun,2006,2.3
cze,1998,1.7
cze,2003,1.8
cze,2009,1.8
fin,1998,1.6
fin,2001,1.6
fin,2004,1.6
fin,2005,1.6
irl,2000,1.9
irl,2010,2.0
dnk,2002,1.7
dnk,2005,1.7
dnk,2007,1.7
dnk,2010,1.8
nor,1997,1.4
nor,2001,1.4
nor,2010,1.5
nor,2011,1.5
jpn,1999,1.8
jpn,2002,1.8
mex,2001,2.2
nzl,2000,1.9
nzl,2008,2.0
nld,2002,1.8
kor,1996,1.9
kor,2002,2.0
mda,2011,1.8
per,1995,2.4
svk,2004,2.0
svk,2007,2.0
svk,2011,2.0
prt,1995,2.5
prt,1997,2.5
prt,1998,2.6
prt,2000,2.5
pan,2003,2.3
pan,2005,2.3
pan,2008,2.1
tur,2009,2.3
gbr,2000,2.1
gbr,2004,2.1
gbr,2008,2.2
usa,1995,2.2
usa,2005,2.3
ven,1997,2.4
ven,1999,2.3
ven,2000,2.1
arg,1998,2.3
arg,2004,2.3
aze,1999,2.1
aze,2004,2.0
aze,2008,2.9
can,2006,1.9
can,2009,1.9
arm,2007,2.0
chl,2003,3.1
arm,2011,1.8
bel,2001,1.7
bel,2003,1.7
bel,2007,1.7
aus,1999,1.8
aus,2003,1.9
aus,2004,1.9
bra,1999,2.9
bra,2004,2.7
aut,2007,1.9
col,1995,2.4
col,1997,2.6
col,2004,2.3
hnd,2008,2.4
isr,1998,2.4
cri,1999,2.3
cri,2007,2.4
fra,1995,1.9
fra,1999,1.9
fra,2003,2.0
hun,1995,2.1
hun,2010,2.4
deu,1998,1.8
deu,1999,1.8
isl,2005,1.7
isl,2006,1.8
deu,2008,1.8
est,2005,2.2
grc,2006,1.9
cze,2005,1.8
cze,2007,1.8
fin,1997,1.6
fin,2003,1.6
fin,2008,1.7
isr,2010,2.7
nor,2006,1.5
nor,2007,1.5
ita,1995,1.6
mlt,2008,1.6
ltu,2011,2.2
mex,2002,2.2
mex,2011,2.0
nld,1998,1.7
nld,1999,1.7
nld,2004,1.8
kor,2009,2.1
mda,2006,2.2
esp,2004,2.1
esp,2005,2.1
esp,2006,2.2
esp,2009,2.2
per,2001,2.4
per,2010,2.1
pol,1995,2.0
pan,1996,2.4
prt,2004,2.5
pan,1997,2.5
pan,2002,2.5
pan,2009,2.2
gbr,1998,2.1
gbr,2002,2.1
gbr,2011,2.2
che,1996,1.7
che,2000,1.7
che,2006,1.8
che,2008,1.8
che,2002,1.7
che,1998,1.7
che,2010,1.8
che,2004,1.8
