country,year,ear_l9l5_noc_rt
usa,1996,2.2
usa,2009,2.4
ury,2005,2.3
ury,2011,2.2
alb,1996,1.9
arg,2007,2.1
arg,2009,2.0
aze,2006,1.6
bel,2006,1.7
bra,2008,2.5
bra,2009,2.6
hnd,2002,2.5
hnd,2005,2.3
isr,1997,2.5
isr,2000,2.5
cri,1997,2.2
cri,2009,2.5
fra,2000,2.0
fra,2005,2.0
ecu,1996,2.0
ecu,1997,2.2
ecu,1999,2.4
ecu,2006,2.4
hun,1999,2.2
hun,2008,2.4
hun,2009,2.4
deu,2001,1.8
deu,2007,1.7
cze,2001,1.7
fin,1996,1.6
irl,2007,2.0
dnk,1997,1.7
dnk,2000,1.7
dnk,2009,1.7
nor,1998,1.4
nor,2000,1.4
ita,1998,1.6
jpn,1996,1.8
jpn,1998,1.8
jpn,2004,1.8
mex,1995,2.3
mex,1998,2.4
mex,2004,2.2
mex,2006,2.1
mex,2007,2.1
nzl,1998,1.9
nzl,2009,1.9
nld,2000,1.7
kor,1998,1.9
mda,2007,2.1
mda,2009,2.0
esp,2011,2.2
per,2005,2.3
pol,1997,2.0
pol,2002,2.0
prt,2003,2.5
pan,2004,2.2
pan,2006,2.3
pan,2010,2.1
tur,2008,2.2
gbr,2010,2.2
usa,2001,2.3
usa,2007,2.3
ury,2007,2.4
ven,1996,2.1
ven,2006,1.8
ven,2010,1.6
arg,2008,2.1
aze,1998,2.6
can,1997,1.8
can,2001,1.8
can,2003,1.8
can,2005,1.9
chl,1998,2.9
chl,2006,3.0
bel,2004,1.7
aus,1995,1.8
aus,1997,1.8
aus,2000,1.8
aus,2008,1.9
bra,1997,3.0
bra,1998,3.0
aut,2006,1.9
col,2008,2.4
hnd,1997,2.2
hnd,2006,2.4
hnd,2009,2.1
isr,1996,2.3
isr,2001,2.8
isr,2002,2.8
cri,2001,2.4
cri,2002,2.4
cri,2004,2.3
cri,2008,2.4
cri,2010,2.5
fra,2002,2.0
fra,2004,2.0
fra,2007,2.0
ecu,2007,2.6
ecu,2008,2.5
ecu,2010,2.4
hun,1997,2.2
isl,2004,1.7
est,2006,2.2
grc,2004,2.0
grc,2005,1.9
cze,2002,1.8
cze,2006,1.8
cze,2011,1.8
fin,1995,1.6
fin,2009,1.7
fin,2010,1.7
irl,1997,2.0
irl,2005,2.0
dnk,1999,1.7
dnk,2001,1.7
dnk,2004,1.7
ita,2006,1.6
mlt,2011,1.7
jpn,2007,1.9
jpn,2011,1.8
lux,2010,2.3
lux,2011,2.3
mex,1999,2.3
mex,2003,2.2
mex,2009,2.1
nzl,2001,1.9
nzl,2002,1.9
nzl,2003,2.0
nzl,2004,1.9
nzl,2007,2.0
mex,2010,2.0
kor,2005,2.0
kor,2008,2.2
kor,2010,2.2
mda,2010,1.8
esp,2010,2.2
per,2004,2.2
per,2007,2.3
swe,2008,1.6
pol,1998,1.9
pol,2010,2.0
pan,1998,2.4
pan,2007,2.2
gbr,2001,2.1
gbr,2005,2.2
usa,1999,2.2
usa,2002,2.3
ven,2002,2.1
ven,2003,2.0
ven,2008,1.7
arg,2000,2.3
arg,2006,2.1
aze,2003,2.6
