country,sex,year,ear_xees_sex_nb
bel,sex_m,2000,2338.0
bel,sex_f,2000,1719.0
bel,sex_t,2001,2233.0
bel,sex_m,2001,2440.0
bel,sex_f,2001,1806.0
bel,sex_t,2002,2264.0
bel,sex_m,2002,2462.0
bel,sex_f,2002,1834.0
bel,sex_t,2003,2370.0
bel,sex_m,2003,2592.0
bel,sex_f,2003,1932.0
bel,sex_t,2004,2467.0
bel,sex_m,2004,2677.0
bel,sex_f,2004,2003.0
bel,sex_t,2005,2503.0
bel,sex_m,2005,2720.0
bel,sex_f,2005,2049.0
bel,sex_t,2006,2560.0
bel,sex_m,2006,2756.0
bel,sex_f,2006,2106.0
bel,sex_t,2007,2576.0
bel,sex_m,2007,2783.0
bel,sex_f,2007,2130.0
bel,sex_t,2008,2687.0
bel,sex_m,2008,2909.0
bel,sex_f,2008,2242.0
bel,sex_t,2009,2792.0
bel,sex_m,2009,2999.0
bel,sex_f,2009,2343.0
bel,sex_t,2010,2831.0
bgr,sex_t,2000,225.0
bgr,sex_m,2000,256.0
bgr,sex_f,2000,194.0
bgr,sex_t,2001,240.0
bgr,sex_m,2001,273.0
bgr,sex_f,2001,209.0
bgr,sex_t,2002,258.0
bgr,sex_m,2002,290.0
bgr,sex_f,2002,227.0
bgr,sex_t,2003,273.0
bgr,sex_m,2003,303.0
bgr,sex_f,2003,246.0
bgr,sex_t,2004,292.0
bgr,sex_m,2004,321.0
bgr,sex_f,2004,265.0
bgr,sex_t,2005,324.0
bgr,sex_m,2005,356.0
bgr,sex_f,2005,293.0
bgr,sex_t,2006,360.0
bgr,sex_m,2006,393.0
bgr,sex_f,2006,327.0
bgr,sex_t,2007,431.0
bgr,sex_m,2007,469.0
bgr,sex_f,2007,391.0
bgr,sex_t,2008,545.0
bgr,sex_m,2008,597.0
bgr,sex_f,2008,490.0
bgr,sex_t,2009,609.0
bgr,sex_m,2009,673.0
bgr,sex_f,2009,544.0
bgr,sex_t,2010,648.0
bgr,sex_m,2010,718.0
bgr,sex_f,2010,579.0
bgr,sex_t,2011,707.0
bhr,sex_t,2002,255.0
bhr,sex_m,2002,254.0
bhr,sex_f,2002,263.0
bhr,sex_t,2003,267.0
bhr,sex_m,2003,258.0
bhr,sex_f,2003,300.0
bhr,sex_t,2004,264.0
bhr,sex_m,2004,255.0
bhr,sex_f,2004,302.0
bhr,sex_t,2005,260.0
bhr,sex_m,2005,250.0
bhr,sex_f,2005,303.0
bhr,sex_t,2006,259.0
bhr,sex_m,2006,250.0
bhr,sex_f,2006,296.0
bhr,sex_t,2007,281.0
bhr,sex_m,2007,267.0
bhr,sex_f,2007,337.0
bhr,sex_t,2008,307.0
bhr,sex_m,2008,293.0
bhr,sex_f,2008,363.0
bhr,sex_t,2009,303.0
bhr,sex_m,2009,294.0
bhr,sex_f,2009,337.0
bhr,sex_t,2010,322.0
bhr,sex_m,2010,311.0
bhr,sex_f,2010,366.0
blr,sex_m,1995,1139022.0
blr,sex_f,1995,900421.0
blr,sex_m,1996,1685964.0
blr,sex_f,1996,1449484.0
blr,sex_m,1997,3620277.0
blr,sex_f,1997,2926395.0
blr,sex_m,1998,8606164.0
blr,sex_f,1998,7304733.0
blr,sex_m,1999,38540745.0
blr,sex_f,1999,31051020.0
blr,sex_m,2000,97203.0
blr,sex_f,2000,78700.0
blr,sex_f,2001,150434.0
blr,sex_m,2001,181934.0
blr,sex_m,2002,245768.0
blr,sex_f,2002,198805.0
blr,sex_m,2003,334168.0
blr,sex_f,2003,265471.0
blr,sex_m,2004,478432.0
blr,sex_f,2004,388228.0
blr,sex_m,2005,625525.0
blr,sex_f,2005,495046.0
blr,sex_m,2006,738030.0
blr,sex_f,2006,589475.0
blr,sex_m,2007,886521.0
blr,sex_f,2007,694843.0
blr,sex_m,2008,1147784.0
blr,sex_f,2008,848048.0
blr,sex_m,2009,1240210.0
blr,sex_f,2009,924671.0
blr,sex_m,2010,1792072.0
blr,sex_f,2010,1373092.0
bra,sex_t,1995,399.0
bra,sex_m,1995,470.0
bra,sex_f,1995,300.0
bra,sex_t,1996,452.0
bra,sex_m,1996,524.0
bra,sex_f,1996,354.0
bra,sex_t,1997,477.0
bra,sex_m,1997,552.0
bra,sex_f,1997,377.0
bra,sex_t,1998,500.0
bra,sex_m,1998,580.0
bra,sex_f,1998,395.0
bra,sex_t,1999,496.0
bra,sex_m,1999,571.0
bra,sex_f,1999,399.0
bra,sex_t,2001,552.0
bra,sex_m,2001,635.0
bra,sex_f,2001,449.0
bra,sex_t,2002,593.0
bra,sex_m,2002,681.0
bra,sex_f,2002,484.0
bra,sex_t,2003,643.0
bra,sex_m,2003,735.0
bra,sex_f,2003,530.0
bra,sex_t,2004,684.0
bra,sex_m,2004,782.0
bra,sex_f,2004,565.0
bra,sex_t,2005,754.0
bra,sex_m,2005,860.0
bra,sex_f,2005,624.0
bra,sex_t,2006,824.0
bra,sex_m,2006,941.0
bra,sex_f,2006,685.0
bra,sex_t,2007,894.0
bra,sex_m,2007,1021.0
bra,sex_f,2007,742.0
bra,sex_t,2008,971.0
bra,sex_m,2008,1107.0
bra,sex_f,2008,807.0
bra,sex_t,2009,1051.0
bra,sex_m,2009,1204.0
bra,sex_f,2009,871.0
bwa,sex_m,2007,4047.0
bwa,sex_f,2007,3606.0
bwa,sex_m,2009,4967.0
bwa,sex_f,2009,4214.0
bwa,sex_m,2010,5370.0
bwa,sex_f,2010,4475.0
can,sex_m,1997,2912.0
can,sex_f,1997,2015.0
can,sex_m,1998,2955.0
can,sex_f,1998,2049.0
can,sex_m,1999,3031.0
can,sex_f,1999,2109.0
can,sex_m,2000,3130.0
can,sex_f,2000,2172.0
can,sex_m,2001,3226.0
can,sex_f,2001,2251.0
can,sex_m,2002,3287.0
can,sex_f,2002,2319.0
can,sex_m,2003,3344.0
can,sex_f,2003,2380.0
can,sex_m,2004,3414.0
can,sex_f,2004,2461.0
can,sex_m,2005,3520.0
can,sex_f,2005,2556.0
can,sex_m,2006,3639.0
can,sex_f,2006,2649.0
can,sex_m,2007,3753.0
can,sex_f,2007,2744.0
can,sex_m,2008,3913.0
can,sex_f,2008,2858.0
can,sex_m,2009,4000.0
can,sex_f,2009,2973.0
can,sex_m,2010,4077.0
can,sex_f,2010,3036.0
can,sex_m,2011,4142.0
can,sex_f,2011,3132.0
che,sex_t,1996,5539.0
che,sex_m,1996,6057.0
che,sex_f,1996,4509.0
che,sex_t,1998,5744.0
che,sex_m,1998,6259.0
che,sex_f,1998,4686.0
che,sex_t,2000,5937.0
che,sex_m,2000,6487.0
che,sex_f,2000,4844.0
che,sex_t,2002,6184.0
che,sex_m,2002,6773.0
che,sex_f,2002,5116.0
che,sex_t,2004,6385.0
che,sex_m,2004,6975.0
che,sex_f,2004,5314.0
che,sex_t,2006,6617.0
che,sex_m,2006,7234.0
che,sex_f,2006,5517.0
che,sex_t,2008,6879.0
che,sex_m,2008,7560.0
che,sex_f,2008,5707.0
che,sex_t,2010,7030.0
che,sex_m,2010,7690.0
che,sex_f,2010,5902.0
cod,sex_t,2005,10442.0
cod,sex_m,2005,12293.0
cod,sex_f,2005,7731.0
col,sex_t,1995,244105.0
col,sex_m,1995,268634.0
col,sex_f,1995,212843.0
col,sex_t,1996,296768.0
col,sex_m,1996,325746.0
col,sex_f,1996,260200.0
col,sex_t,1997,367567.0
col,sex_m,1997,405830.0
col,sex_f,1997,321083.0
col,sex_t,1998,447686.0
col,sex_m,1998,491450.0
col,sex_f,1998,394930.0
col,sex_t,1999,471982.0
col,sex_m,1999,507983.0
col,sex_f,1999,431387.0
col,sex_m,2000,502015.0
col,sex_f,2000,453552.0
col,sex_t,2000,478753.0
col,sex_t,2002,502996.0
col,sex_m,2002,510819.0
col,sex_f,2002,494527.0
col,sex_t,2003,544564.0
col,sex_m,2003,580873.0
col,sex_f,2003,504443.0
col,sex_t,2004,595851.0
col,sex_m,2004,636941.0
col,sex_f,2004,550941.0
col,sex_t,2005,662061.0
col,sex_m,2005,695383.0
col,sex_f,2005,623537.0
col,sex_t,2006,672658.0
col,sex_m,2006,716075.0
col,sex_f,2006,625285.0
col,sex_t,2007,860382.0
col,sex_m,2007,895364.0
col,sex_f,2007,817793.0
col,sex_t,2008,947183.0
col,sex_m,2008,1003445.0
col,sex_f,2008,882040.0
col,sex_t,2009,921903.0
col,sex_m,2009,974912.0
col,sex_f,2009,860458.0
col,sex_t,2010,1010375.0
col,sex_m,2010,1089158.0
col,sex_f,2010,921469.0
cri,sex_t,1995,66811.0
cri,sex_m,1995,73294.0
cri,sex_f,1995,56230.0
cri,sex_t,1996,78519.0
cri,sex_m,1996,83950.0
cri,sex_f,1996,69709.0
cri,sex_t,1997,91040.0
cri,sex_m,1997,95789.0
cri,sex_f,1997,83668.0
cri,sex_t,1998,108263.0
cri,sex_m,1998,117439.0
cri,sex_f,1998,94825.0
cri,sex_t,1999,112584.0
cri,sex_m,1999,123181.0
cri,sex_f,1999,96611.0
cri,sex_t,2000,127566.0
cri,sex_m,2000,138273.0
cri,sex_f,2000,111747.0
cri,sex_t,2001,149782.0
cri,sex_m,2001,161366.0
cri,sex_f,2001,133788.0
cri,sex_t,2002,161939.0
cri,sex_m,2002,177789.0
cri,sex_f,2002,139293.0
cri,sex_t,2003,175537.0
cri,sex_m,2003,187437.0
cri,sex_f,2003,157937.0
cri,sex_t,2004,192003.0
cri,sex_m,2004,205300.0
cri,sex_f,2004,171478.0
cri,sex_t,2005,207414.0
cri,sex_m,2005,224695.0
cri,sex_f,2005,181968.0
cri,sex_t,2006,236890.0
cri,sex_m,2006,253971.0
cri,sex_f,2006,213140.0
cri,sex_t,2007,272842.0
cri,sex_m,2007,298172.0
cri,sex_f,2007,237808.0
cri,sex_t,2008,309542.0
cri,sex_m,2008,339125.0
cri,sex_f,2008,271571.0
cri,sex_t,2009,369621.0
cri,sex_m,2009,390767.0
cri,sex_f,2009,340767.0
cri,sex_t,2010,400996.0
cri,sex_m,2010,425637.0
cri,sex_f,2010,368469.0
cyp,sex_t,1999,1317.0
cyp,sex_m,1999,1469.0
cyp,sex_f,1999,1078.0
cyp,sex_t,2000,1411.0
cyp,sex_m,2000,1572.0
cyp,sex_f,2000,1165.0
cyp,sex_t,2001,1483.0
cyp,sex_m,2001,1652.0
cyp,sex_f,2001,1225.0
cyp,sex_t,2002,1558.0
cyp,sex_m,2002,1729.0
cyp,sex_f,2002,1295.0
cyp,sex_t,2003,1654.0
cyp,sex_m,2003,1837.0
cyp,sex_f,2003,1374.0
cyp,sex_t,2004,1722.0
cyp,sex_m,2004,1912.0
cyp,sex_f,2004,1432.0
cyp,sex_t,2005,1815.0
cyp,sex_m,2005,2013.0
cyp,sex_f,2005,1510.0
cyp,sex_t,2006,1900.0
cyp,sex_m,2006,2100.0
cyp,sex_f,2006,1589.0
cyp,sex_t,2007,1968.0
cyp,sex_m,2007,2168.0
cyp,sex_f,2007,1651.0
cyp,sex_t,2008,2064.0
cyp,sex_m,2008,2267.0
cyp,sex_f,2008,1760.0
cyp,sex_t,2009,2130.0
cyp,sex_m,2009,2336.0
cyp,sex_f,2009,1824.0
cze,sex_t,2005,21674.0
cze,sex_m,2005,24271.0
cze,sex_f,2005,18221.0
cze,sex_t,2006,22908.0
cze,sex_m,2006,25593.0
cze,sex_f,2006,19305.0
cze,sex_t,2007,24604.0
cze,sex_m,2007,27489.0
cze,sex_f,2007,20684.0
cze,sex_t,2008,26349.0
cze,sex_m,2008,29628.0
cze,sex_f,2008,21939.0
cze,sex_t,2009,26677.0
cze,sex_m,2009,29953.0
cze,sex_f,2009,22414.0
cze,sex_t,2010,26881.0
cze,sex_m,2010,30192.0
cze,sex_f,2010,22666.0
cze,sex_t,2011,25645.0
cze,sex_m,2011,28234.0
cze,sex_f,2011,22389.0
deu,sex_t,1995,2281.0
deu,sex_m,1995,2470.0
deu,sex_f,1995,1858.0
deu,sex_t,1996,2344.0
deu,sex_m,1996,2539.0
deu,sex_f,1996,1933.0
deu,sex_t,1997,2389.0
deu,sex_m,1997,2580.0
deu,sex_f,1997,1985.0
deu,sex_t,1998,2447.0
deu,sex_m,1998,2639.0
deu,sex_f,1998,2039.0
deu,sex_t,1999,2518.0
deu,sex_m,1999,2713.0
deu,sex_f,1999,2105.0
deu,sex_t,2000,2551.0
deu,sex_m,2000,2732.0
deu,sex_f,2000,2150.0
deu,sex_t,2001,2617.0
deu,sex_m,2001,2800.0
deu,sex_f,2001,2216.0
deu,sex_t,2002,2701.0
deu,sex_m,2002,2889.0
deu,sex_f,2002,2286.0
deu,sex_t,2003,2783.0
deu,sex_m,2003,2972.0
deu,sex_f,2003,2359.0
deu,sex_t,2004,2846.0
deu,sex_m,2004,3034.0
deu,sex_f,2004,2421.0
deu,sex_t,2005,2901.0
deu,sex_m,2005,3088.0
deu,sex_f,2005,2475.0
deu,sex_t,2006,2950.0
deu,sex_m,2006,3138.0
deu,sex_f,2006,2522.0
deu,sex_t,2007,3023.0
deu,sex_m,2007,3211.0
deu,sex_f,2007,2590.0
deu,sex_t,2008,3103.0
deu,sex_m,2008,3294.0
deu,sex_f,2008,2661.0
deu,sex_t,2009,3141.0
deu,sex_m,2009,3320.0
deu,sex_f,2009,2729.0
deu,sex_t,2010,3227.0
deu,sex_m,2010,3416.0
deu,sex_f,2010,2791.0
deu,sex_t,2011,3311.0
deu,sex_m,2011,3508.0
deu,sex_f,2011,2861.0
dnk,sex_t,2009,35388.0
dnk,sex_m,2009,38032.0
dnk,sex_f,2009,32346.0
dnk,sex_t,2010,36538.0
dnk,sex_m,2010,39297.0
dnk,sex_f,2010,33416.0
ecu,sex_t,1995,180.0
ecu,sex_m,1995,197.0
ecu,sex_f,1995,151.0
ecu,sex_t,1996,189.0
ecu,sex_m,1996,205.0
ecu,sex_f,1996,162.0
ecu,sex_t,1997,217.0
ecu,sex_m,1997,232.0
ecu,sex_f,1997,192.0
ecu,sex_t,1998,187.0
ecu,sex_m,1998,204.0
ecu,sex_f,1998,158.0
ecu,sex_t,1999,120.0
ecu,sex_m,1999,128.0
ecu,sex_f,1999,105.0
ecu,sex_t,2000,122.0
ecu,sex_m,2000,130.0
ecu,sex_f,2000,108.0
ecu,sex_t,2001,173.0
ecu,sex_m,2001,189.0
ecu,sex_f,2001,144.0
ecu,sex_t,2002,250.0
ecu,sex_m,2002,270.0
ecu,sex_f,2002,214.0
ecu,sex_t,2003,260.0
ecu,sex_m,2003,274.0
ecu,sex_f,2003,236.0
ecu,sex_t,2004,325.0
ecu,sex_m,2004,338.0
ecu,sex_f,2004,304.0
ecu,sex_t,2005,311.0
ecu,sex_m,2005,331.0
ecu,sex_f,2005,279.0
ecu,sex_t,2006,322.0
ecu,sex_m,2006,334.0
ecu,sex_f,2006,300.0
ecu,sex_t,2007,363.0
ecu,sex_m,2007,384.0
ecu,sex_f,2007,327.0
ecu,sex_t,2008,382.0
ecu,sex_m,2008,403.0
ecu,sex_f,2008,349.0
ecu,sex_t,2009,401.0
ecu,sex_m,2009,421.0
ecu,sex_f,2009,367.0
ecu,sex_t,2010,441.0
ecu,sex_m,2010,456.0
ecu,sex_f,2010,417.0
ecu,sex_t,2011,478.0
ecu,sex_m,2011,489.0
ecu,sex_f,2011,460.0
egy,sex_t,1996,429.0
egy,sex_m,1996,442.0
egy,sex_f,1996,360.0
egy,sex_t,1997,464.0
egy,sex_m,1997,472.0
egy,sex_f,1997,407.0
egy,sex_t,1998,490.0
egy,sex_m,1998,498.0
egy,sex_f,1998,425.0
egy,sex_t,1999,620.0
egy,sex_m,1999,641.0
egy,sex_f,1999,503.0
egy,sex_t,2000,702.0
egy,sex_m,2000,732.0
egy,sex_f,2000,542.0
egy,sex_t,2001,667.0
egy,sex_m,2001,680.0
egy,sex_f,2001,576.0
egy,sex_t,2002,706.0
egy,sex_m,2002,724.0
egy,sex_f,2002,602.0
egy,sex_t,2003,754.0
egy,sex_m,2003,776.0
egy,sex_f,2003,646.0
egy,sex_t,2004,823.0
egy,sex_m,2004,836.0
egy,sex_f,2004,732.0
egy,sex_t,2005,897.0
egy,sex_m,2005,932.0
egy,sex_f,2005,724.0
egy,sex_t,2006,992.0
egy,sex_m,2006,1023.0
egy,sex_f,2006,815.0
egy,sex_t,2007,1092.0
egy,sex_m,2007,1131.0
egy,sex_f,2007,880.0
esp,sex_m,2004,1721.0
esp,sex_f,2004,1247.0
esp,sex_m,2005,1775.0
esp,sex_f,2005,1287.0
esp,sex_m,2006,1845.0
esp,sex_f,2006,1359.0
esp,sex_m,2007,1914.0
esp,sex_f,2007,1424.0
esp,sex_m,2008,1991.0
esp,sex_f,2008,1556.0
esp,sex_m,2009,2064.0
esp,sex_f,2009,1610.0
esp,sex_m,2010,2097.0
esp,sex_f,2010,1624.0
esp,sex_m,2011,2118.0
esp,sex_f,2011,1641.0
est,sex_m,2005,612.0
est,sex_f,2005,450.0
est,sex_m,2006,736.0
est,sex_f,2006,531.0
est,sex_m,2007,899.0
est,sex_f,2007,641.0
est,sex_m,2008,980.0
est,sex_f,2008,729.0
fin,sex_t,1995,10702.0
fin,sex_m,1995,11972.0
fin,sex_f,1995,9413.0
fin,sex_t,1996,11166.0
fin,sex_m,1996,12426.0
fin,sex_f,1996,9883.0
fin,sex_t,1997,11261.0
fin,sex_m,1997,12566.0
fin,sex_f,1997,9912.0
fin,sex_t,1998,11667.0
fin,sex_m,1998,12984.0
fin,sex_f,1998,10277.0
fin,sex_t,1999,12044.0
fin,sex_m,1999,13363.0
fin,sex_f,1999,10312.0
fin,sex_t,2000,12658.0
fin,sex_m,2000,14111.0
fin,sex_f,2000,11116.0
fin,sex_t,2001,2209.0
fin,sex_m,2001,2441.0
fin,sex_f,2001,1957.0
fin,sex_t,2002,2287.0
fin,sex_m,2002,2523.0
fin,sex_f,2002,2028.0
fin,sex_t,2003,2372.0
fin,sex_m,2003,2621.0
fin,sex_f,2003,2107.0
fin,sex_t,2004,2459.0
fin,sex_m,2004,2708.0
fin,sex_f,2004,2190.0
fin,sex_t,2005,2555.0
fin,sex_m,2005,2813.0
fin,sex_f,2005,2275.0
fin,sex_t,2006,2634.0
fin,sex_m,2006,2922.0
fin,sex_f,2006,2343.0
fin,sex_t,2007,2734.0
fin,sex_m,2007,3035.0
fin,sex_f,2007,2433.0
fin,sex_t,2008,2876.0
fin,sex_m,2008,3185.0
fin,sex_f,2008,2575.0
fin,sex_t,2009,2971.0
fin,sex_m,2009,3288.0
fin,sex_f,2009,2667.0
fin,sex_t,2010,3043.0
fin,sex_m,2010,3358.0
fin,sex_f,2010,2736.0
fra,sex_t,1998,2127.0
fra,sex_m,1998,2282.0
fra,sex_f,1998,1820.0
fra,sex_t,1999,2162.0
fra,sex_m,1999,2313.0
fra,sex_f,1999,1854.0
fra,sex_t,2000,2180.0
fra,sex_m,2000,2320.0
fra,sex_f,2000,1890.0
fra,sex_t,2001,2230.0
fra,sex_m,2001,2380.0
fra,sex_f,2001,1940.0
fra,sex_t,2002,2430.0
fra,sex_m,2002,2600.0
fra,sex_f,2002,2080.0
fra,sex_t,2003,2490.0
fra,sex_m,2003,2670.0
fra,sex_f,2003,2140.0
fra,sex_t,2004,2440.0
fra,sex_m,2004,2610.0
fra,sex_f,2004,2120.0
fra,sex_t,2005,2520.0
fra,sex_m,2005,2690.0
fra,sex_f,2005,2190.0
fra,sex_t,2006,2580.0
fra,sex_m,2006,2760.0
fra,sex_f,2006,2250.0
fra,sex_t,2007,2660.0
fra,sex_m,2007,2850.0
fra,sex_f,2007,2320.0
fra,sex_t,2008,2758.0
fra,sex_m,2008,2955.0
fra,sex_f,2008,2401.0
fra,sex_t,2009,2798.0
fra,sex_m,2009,2988.0
fra,sex_f,2009,2461.0
gbr,sex_t,1997,1354.0
gbr,sex_m,1997,1711.0
gbr,sex_f,1997,972.0
gbr,sex_t,1998,1424.0
gbr,sex_m,1998,1801.0
gbr,sex_f,1998,1017.0
gbr,sex_t,1999,1477.0
gbr,sex_m,1999,1861.0
gbr,sex_f,1999,1066.0
gbr,sex_t,2000,1536.0
gbr,sex_m,2000,1932.0
gbr,sex_f,2000,1105.0
gbr,sex_t,2001,1620.0
gbr,sex_m,2001,2037.0
gbr,sex_f,2001,1172.0
gbr,sex_t,2002,1697.0
gbr,sex_m,2002,2138.0
gbr,sex_f,2002,1231.0
gbr,sex_t,2003,1752.0
gbr,sex_m,2003,2197.0
gbr,sex_f,2003,1283.0
gbr,sex_t,2004,1792.0
gbr,sex_m,2004,2229.0
gbr,sex_f,2004,1337.0
gbr,sex_t,2005,1832.0
gbr,sex_m,2005,2275.0
gbr,sex_f,2005,1385.0
gbr,sex_t,2006,1907.0
gbr,sex_m,2006,2362.0
gbr,sex_f,2006,1444.0
gbr,sex_t,2007,1964.0
gbr,sex_m,2007,2421.0
gbr,sex_f,2007,1490.0
gbr,sex_t,2008,2051.0
gbr,sex_m,2008,2530.0
gbr,sex_f,2008,1554.0
gbr,sex_t,2009,2084.0
gbr,sex_m,2009,2554.0
gbr,sex_f,2009,1604.0
gbr,sex_t,2010,2113.0
gbr,sex_m,2010,2581.0
gbr,sex_f,2010,1634.0
gbr,sex_t,2011,2129.0
gbr,sex_m,2011,2591.0
gbr,sex_f,2011,1653.0
geo,sex_t,1998,55.0
geo,sex_t,1999,68.0
geo,sex_m,1999,91.0
geo,sex_f,1999,47.0
geo,sex_t,2000,72.0
geo,sex_m,2000,96.0
