country,year,ear_mree_noc_gr
isr,2012,8.1
isl,2013,3.8
lux,2009,0.6
mwi,2009,1.7
kgz,2011,12.0
nor,2012,3.2
omn,2011,32.0
mex,2013,-0.6
bgd,2011,-2.1
bgd,2012,1.1
bgd,2013,7.5
arm,2012,9.9
per,2007,6.0
per,2008,4.4
qat,2012,14.8
prt,2010,2.5
prt,2011,-2.7
rou,2007,14.8
sau,2012,5.0
phl,2012,1.9
srb,2010,0.6
ukr,2010,10.2
swe,2009,3.0
tjk,2008,15.4
tjk,2009,15.4
tun,2012,1.8
tun,2013,0.4
che,2008,-0.4
svn,2007,2.2
bel,2012,-0.3
col,2006,4.1
col,2010,2.9
bih,2013,0.2
bra,2013,1.8
bwa,2009,5.4
brn,2009,13.3
dnk,2009,1.7
pse,2012,-0.2
pse,2013,-0.8
ury,2009,7.3
grc,2011,-8.1
kaz,2006,10.3
kaz,2007,16.1
kaz,2011,7.1
idn,2007,2.5
jpn,2011,0.5
ita,2012,-3.0
lux,2008,-0.6
lux,2012,-0.7
mwi,2007,1.7
mys,2012,3.7
mlt,2013,1.0
ltu,2012,0.8
kgz,2008,8.8
mus,2012,3.3
mne,2010,10.5
mne,2011,-2.0
nic,2013,-0.4
per,2009,5.8
qat,2013,5.8
sgp,2013,1.9
pry,2012,0.9
rus,2012,8.5
phl,2006,1.5
srb,2006,11.4
srb,2007,14.8
srb,2011,0.1
ukr,2007,12.5
ukr,2011,8.7
esp,2013,-1.5
svk,2006,4.2
tur,2013,6.4
zaf,2012,3.1
twn,2009,-4.1
twn,2010,4.2
cri,2013,1.6
egy,2011,-25.6
cze,2013,-0.3
ecu,2009,-0.3
usa,2013,0.3
fra,2010,0.0
deu,2012,0.8
ken,2012,-4.8
isr,2013,0.9
jpn,2012,0.6
irl,2013,-1.3
jor,2012,0.4
mkd,2012,-3.0
mkd,2013,-1.6
mus,2013,7.0
npl,2013,-0.2
nzl,2013,3.2
mda,2007,8.4
mda,2012,6.4
aze,2012,8.2
alb,2012,0.2
arm,2013,9.0
blr,2011,1.9
blr,2013,16.4
per,2006,5.6
sgp,2012,-2.2
rou,2009,-1.5
rou,2011,-1.8
sau,2013,5.6
phl,2009,0.0
ukr,2009,-9.2
swe,2007,0.9
swe,2008,1.8
tjk,2006,15.6
tjk,2010,17.1
tza,2007,-10.9
tza,2011,-7.9
tza,2012,-16.6
esp,2012,-3.0
tkm,2013,4.1
svn,2006,2.2
svn,2009,2.5
svn,2010,2.1
svn,2012,-2.4
cri,2012,1.6
col,2007,-0.1
col,2012,0.9
bwa,2006,0.1
dnk,2006,1.2
dnk,2012,-0.4
dnk,2013,0.4
hrv,2011,-1.0
ury,2007,4.8
ury,2008,3.5
ury,2011,4.0
zwe,2012,16.9
ury,2013,3.0
usa,2008,-1.1
usa,2011,-0.3
ven,2007,9.2
hnd,2012,-5.3
fra,2011,-0.1
hkg,2013,-0.2
grc,2012,-8.7
jpn,2013,-0.8
irl,2012,-1.4
lva,2008,4.5
lva,2009,-7.0
lso,2013,3.0
kgz,2009,7.2
kgz,2013,-1.5
nor,2013,1.4
moz,2013,4.4
pak,2006,1.7
mex,2012,-0.5
nld,2011,-1.5
nld,2012,-1.2
mda,2010,0.7
aus,2013,1.5
bhr,2011,3.4
dza,2012,-0.6
blr,2012,21.5
prt,2012,-1.7
pri,2011,-2.6
pri,2013,-1.2
phl,2007,-1.1
phl,2008,-3.4
swe,2006,1.4
swe,2011,-0.4
svk,2008,3.3
lka,2010,4.3
che,2012,1.5
twn,2006,0.2
twn,2011,1.1
bel,2011,-1.3
col,2008,-1.3
col,2011,0.2
bih,2006,1.8
bih,2007,8.1
bwa,2008,-4.8
chl,2012,3.3
dnk,2007,2.1
dnk,2011,-0.5
slv,2012,1.2
est,2012,1.4
est,2013,3.4
ecu,2012,2.0
ury,2012,4.2
ven,2006,15.3
ven,2012,5.7
vnm,2006,5.6
vnm,2011,3.9
hun,2012,-0.9
hun,2013,1.7
fin,2013,0.0
grc,2013,-6.0
jam,2012,-4.7
jam,2013,-5.1
kaz,2010,7.6
kaz,2012,7.0
idn,2010,1.5
lva,2007,19.6
lva,2012,1.5
lux,2007,1.6
mys,2013,5.3
kgz,2010,7.5
mng,2012,14.3
mne,2009,1.9
moz,2012,-9.0
npl,2012,8.3
nic,2012,-1.5
nld,2006,0.5
nld,2013,-1.3
arm,2011,5.8
per,2012,5.0
pry,2013,2.3
ukr,2006,18.3
ukr,2013,8.2
tjk,2007,17.8
tjk,2012,18.7
tha,2012,8.5
svk,2007,4.3
svk,2012,-1.2
tur,2012,6.2
che,2010,0.1
zaf,2006,4.9
twn,2008,-3.5
twn,2012,-1.7
chn,2012,9.0
col,2013,2.6
can,2012,1.0
slv,2011,-5.2
ury,2010,3.3
gbr,2012,-1.9
gbr,2013,-0.3
usa,2009,1.5
usa,2012,0.4
geo,2013,8.5
irl,2008,1.0
lva,2011,0.0
lux,2006,0.9
lux,2013,1.5
mwi,2008,0.4
kor,2012,3.1
mlt,2012,0.1
mne,2008,12.4
mne,2012,-2.8
mne,2013,-2.3
mar,2012,1.8
mar,2013,0.7
bhr,2012,-2.4
pri,2012,-0.4
sau,2006,-0.5
phl,2010,1.6
phl,2013,1.5
srb,2009,0.2
swe,2010,0.4
swe,2012,2.1
svk,2009,1.4
svk,2011,-1.6
svk,2013,1.0
che,2011,0.7
svn,2011,0.2
svn,2013,-2.0
twn,2013,-0.6
chn,2011,8.6
col,2009,1.3
bih,2012,-0.5
bwa,2007,3.0
chl,2013,3.9
dnk,2008,1.0
cyp,2011,-0.6
cyp,2012,-0.8
fji,2007,15.4
cze,2012,-1.2
usa,2010,0.6
ven,2013,-5.8
vnm,2012,10.9
hnd,2011,7.2
deu,2013,0.6
hkg,2012,0.4
kaz,2009,3.2
idn,2009,8.7
idn,2012,2.5
jor,2011,1.6
ita,2013,0.0
mac,2013,1.6
lva,2010,-2.2
lva,2013,4.5
lso,2012,14.7
ltu,2013,3.8
kgz,2012,13.6
mne,2007,10.9
nzl,2012,1.6
aut,2012,-0.1
per,2010,-2.1
per,2011,4.0
per,2013,0.4
rou,2006,8.9
rou,2010,-3.7
rus,2013,5.4
phl,2011,-1.0
srb,2013,-1.9
tjk,2011,10.9
che,2007,0.9
che,2009,2.6
che,2013,1.0
tkm,2012,5.6
uga,2012,4.9
svn,2008,2.5
zaf,2013,-0.1
chn,2013,7.3
bel,2013,1.0
can,2013,0.8
bih,2011,0.7
cyp,2013,-1.9
dom,2012,3.1
hrv,2012,-2.2
ecu,2006,0.0
ecu,2007,10.3
uzb,2012,2.4
geo,2011,-1.9
fin,2011,-1.0
grc,2010,-3.5
kaz,2008,-1.0
kaz,2013,1.6
idn,2011,2.9
irl,2007,-1.3
isl,2012,1.4
lva,2006,15.3
lux,2010,0.7
lux,2011,-1.2
mac,2012,-0.4
kor,2013,2.5
kwt,2011,8.8
kgz,2006,18.6
kgz,2007,10.2
pan,2011,-0.4
pan,2012,3.9
omn,2012,8.6
mda,2006,14.2
mda,2008,8.7
mda,2009,8.6
mda,2011,3.1
