country,year,ear_xtlp_noc_rt
deu,2006,18.9
cze,1999,15.1
cze,2003,16.3
fin,1999,5.3
fin,2001,4.3
kor,2003,20.2
ita,2002,10.5
ita,2006,9.7
jpn,2003,14.4
mex,1995,22.4
mex,1999,24.2
mex,2002,19.4
mex,2004,21.3
pan,2002,19.0
pan,2009,13.0
pan,2010,11.6
zaf,1999,32.0
zaf,2000,34.7
prt,2009,10.3
esp,2011,16.2
per,1998,22.4
per,2008,26.3
phl,2010,14.5
pol,2004,22.2
gbr,1999,20.2
usa,1999,24.5
usa,2008,24.5
usa,2010,25.3
ury,2010,29.1
ven,2002,19.4
ven,2010,12.1
aze,1996,5.0
aze,2000,6.0
aze,2002,6.0
arg,2004,32.9
arg,2008,28.6
bel,2002,12.0
bel,2010,12.7
bra,2006,22.9
aut,2005,15.3
dnk,2002,10.5
dnk,2009,13.6
cri,2002,21.5
cri,2006,23.0
cri,2010,21.4
ecu,1998,29.8
ecu,2009,21.4
hun,2005,23.1
deu,1995,14.1
deu,2005,18.3
idn,2007,28.7
grc,2007,17.6
cze,2000,14.0
cze,2005,17.1
fin,2008,5.5
isr,1995,24.9
isr,2001,22.6
jpn,2000,14.6
jpn,2001,14.6
mex,2008,20.3
mda,2008,24.9
pan,2000,20.3
pan,2001,16.0
per,1999,25.2
per,2000,24.4
per,2009,27.5
pol,1998,17.9
pol,2006,23.3
svk,2009,20.0
gbr,2001,20.7
gbr,2004,20.5
usa,1995,25.2
ury,2007,30.4
ury,2009,28.7
ven,1997,19.6
ven,2009,13.5
aze,2003,80.0
arg,2003,29.8
arg,2005,32.3
col,2003,22.4
chl,1998,25.9
can,1998,21.1
can,2004,22.4
bel,2001,12.0
bel,2003,11.9
can,2008,22.1
aus,1995,13.8
aut,2007,16.2
aut,2010,16.5
irl,2009,20.2
dnk,1998,9.2
cri,2003,21.5
cri,2005,20.9
ecu,1996,31.4
ecu,2000,30.6
ecu,2006,26.8
hun,1996,21.0
hun,2004,23.0
hun,2008,20.8
isl,2006,17.1
deu,2000,15.9
deu,2004,17.6
idn,1998,27.7
idn,2001,27.7
idn,2003,27.3
grc,2005,19.7
grc,2010,13.3
cze,2002,15.7
cze,2006,16.9
cze,2008,16.8
fin,1996,4.9
fin,1998,5.5
fin,2005,4.7
kor,2000,18.9
kor,2010,22.2
isr,2009,20.3
nld,1996,13.9
lva,2010,33.1
lux,2002,17.5
lux,2006,19.1
mex,1996,25.8
mex,2000,23.3
mex,2007,21.3
nzl,2001,13.2
nzl,2006,17.2
kor,1995,19.3
pan,1995,26.6
pan,2007,15.1
prt,1998,11.6
per,2003,24.8
per,2005,30.6
per,2006,29.5
phl,2001,14.1
phl,2009,14.9
svk,2005,18.0
gbr,2011,20.6
usa,1996,25.1
usa,1997,24.9
usa,2006,24.2
ury,2001,28.2
ury,2004,29.2
ury,2008,29.1
ven,2008,17.0
arg,2006,28.9
arg,2007,30.0
col,1996,13.1
col,2002,21.5
col,2009,21.2
can,2000,23.2
can,2001,22.0
can,2003,22.0
bel,1999,12.4
chn,2007,21.5
aus,2001,13.9
aus,2008,17.5
bra,2007,21.9
dnk,2006,11.9
dnk,2007,12.0
dnk,2008,13.0
hnd,2006,29.8
hnd,2010,33.4
hun,2001,21.7
hun,2006,23.1
deu,2003,18.7
deu,2007,19.1
deu,2010,20.5
grc,2006,20.0
cze,1997,14.6
cze,1998,15.0
kor,1997,17.9
kor,2006,21.8
kor,2007,22.7
isr,2003,22.6
isr,2007,22.1
nld,1995,13.8
ita,2008,8.1
jpn,2005,16.1
mex,2005,21.5
mex,2009,19.7
mex,2011,17.4
nzl,1999,13.7
nzl,2002,14.6
nzl,2009,12.1
mda,2009,25.0
prt,1995,14.1
prt,1997,13.1
prt,2002,10.9
per,1997,25.7
per,2007,28.3
phl,2008,14.6
pol,1999,18.6
pol,2002,22.0
pol,2008,22.7
svk,2002,17.0
svk,2004,18.0
svk,2007,18.0
che,2006,11.6
che,2010,12.2
che,1998,12.0
che,2000,11.4
che,2008,11.8
che,2002,11.9
che,2004,11.6
