country,year,ear_l5l1_noc_rt
arg,1996,3.4
arg,1997,3.6
arg,1998,3.6
arg,1999,3.7
arg,2000,4.1
arg,2001,4.7
arg,2002,3.8
arg,2003,4.1
arg,2004,4.4
arg,2005,5.2
arg,2006,5.8
arg,2007,5.7
arg,2008,5.3
arg,2009,5.5
arg,2010,4.9
arm,2007,2.6
arm,2008,2.5
arm,2009,2.3
arm,2010,2.3
arm,2011,2.5
aus,1995,1.6
aus,1997,1.6
aus,1998,1.6
aus,1999,1.6
aus,2000,1.7
aus,2001,1.6
aus,2002,1.7
aus,2003,1.6
aus,2004,1.7
aus,2005,1.7
aus,2006,1.7
aus,2007,1.7
aus,2008,1.7
aus,2009,1.7
aus,2010,1.7
aut,2004,1.7
aut,2005,1.7
aut,2006,1.7
aut,2007,1.7
aut,2008,1.7
aut,2009,1.7
aut,2010,1.7
aze,1996,6.7
aze,1997,5.6
aze,1998,5.4
aze,1999,4.4
aze,2000,4.2
aze,2001,4.2
aze,2002,3.7
aze,2003,3.7
aze,2004,3.4
aze,2005,3.6
aze,2006,3.3
aze,2007,6.0
aze,2008,4.9
bel,1999,1.6
bel,2000,1.6
bel,2001,1.6
bel,2002,1.6
bel,2003,1.6
bel,2004,1.6
bel,2005,1.6
bel,2006,1.6
bel,2007,1.6
bel,2008,1.6
bel,2009,1.6
bra,1995,3.5
bra,1996,3.4
bra,1997,3.4
bra,1998,3.5
bra,1999,3.6
bra,2001,3.6
bra,2002,3.6
bra,2003,3.7
bra,2004,3.6
bra,2005,3.4
bra,2006,3.5
bra,2007,3.3
bra,2008,3.3
bra,2009,3.3
can,1997,2.0
can,1998,2.0
can,1999,2.0
can,2000,2.0
can,2001,2.0
can,2002,2.0
can,2003,2.0
can,2004,2.0
can,2005,2.0
can,2006,2.0
can,2007,2.0
can,2008,2.0
can,2009,1.9
can,2010,2.0
can,2011,1.9
che,1996,1.5
che,1998,1.5
che,2000,1.5
che,2002,1.5
che,2004,1.5
che,2006,1.5
che,2008,1.5
che,2010,1.5
chl,1998,2.0
chl,2000,2.0
chl,2003,1.7
chl,2006,1.8
chl,2009,1.7
col,1995,2.1
col,1996,2.3
