country,year,lap_egva_noc_rt
aze,2004,24.9
arg,1999,40.7
arg,2002,34.6
blr,1995,47.4
blr,1999,50.5
blr,2010,56.8
col,2002,33.7
col,2007,32.0
col,2009,32.2
chl,1996,37.9
chl,1999,41.5
arm,2007,38.2
bel,2000,50.9
btn,2002,94.2
chn,1998,58.7
bwa,1998,27.0
cmr,2004,19.9
aus,1998,50.6
aus,2002,48.7
aus,2004,48.7
aus,2008,48.5
bra,2008,49.1
fin,1997,48.6
fin,2007,47.6
fin,2009,52.3
dnk,1997,52.2
dnk,2002,54.1
hnd,2003,45.4
hkg,1995,47.5
hkg,1998,50.6
hkg,1999,51.2
cri,1996,45.7
cri,2000,44.9
cri,2002,47.9
cri,2004,46.5
cri,2007,46.9
fra,2003,52.5
geo,2007,19.1
egy,1998,27.1
egy,2004,26.9
cub,2004,36.0
deu,2004,51.5
cyp,2003,45.7
ind,2005,29.1
ind,2007,27.9
fji,2005,38.0
grc,2002,35.4
grc,2009,37.7
irn,2003,22.0
cze,1996,43.8
cze,1998,42.1
cze,2001,42.3
cze,2002,43.2
cze,2009,44.3
gtm,2003,32.5
civ,1999,21.6
mda,1995,50.6
mng,2001,22.9
mng,2006,20.5
kor,1998,48.8
kor,2000,48.1
mar,2004,32.7
mar,2005,33.6
moz,2006,25.4
moz,2007,24.2
nam,2007,40.0
kwt,2010,25.3
kgz,1996,33.6
kgz,2006,27.2
kgz,2007,26.7
nld,2001,50.8
nld,2006,49.0
nld,2007,49.0
nld,2008,49.4
ita,2008,41.9
ita,2009,42.9
nzl,1995,41.7
nzl,2003,41.8
nor,1997,45.9
nor,1999,48.7
nor,2006,41.0
lso,2000,20.1
mlt,1998,46.0
mlt,2001,46.6
mlt,2002,45.6
mlt,2003,46.8
mlt,2008,43.5
ant,2003,57.0
jpn,1995,54.8
ltu,2000,44.1
mus,1995,41.1
omn,2003,30.0
omn,2004,28.9
jor,2004,37.8
jor,2005,37.5
jor,2009,40.4
kaz,1996,38.9
kaz,2008,32.8
lux,1995,47.1
lux,1998,47.8
ken,2004,37.2
mac,2001,34.6
ner,2000,15.8
ner,2002,14.0
ner,2003,14.5
nga,2007,5.5
nga,2009,4.1
svn,2005,51.0
zaf,1995,50.1
zaf,2002,45.2
zaf,2006,44.0
png,1996,23.9
png,1999,21.1
sdn,1999,28.7
sdn,2003,26.0
rou,1999,38.7
esp,2001,49.2
rou,2006,43.4
rou,2008,47.1
swe,1997,54.1
swe,2008,53.8
sen,1999,18.6
sen,2001,18.6
lka,2002,46.5
srb,1999,47.6
srb,2002,48.8
omn,2010,24.7
che,2001,66.6
che,2003,67.1
che,2006,64.9
ukr,1997,56.0
ukr,1998,56.7
ukr,1999,53.3
ukr,2004,50.3
ukr,2010,56.7
tjk,2001,23.4
are,2003,24.3
are,2008,22.1
are,2010,23.5
tza,2002,14.9
mkd,2000,46.6
usa,2004,56.7
ven,1997,33.4
ven,2003,30.7
aut,1997,58.1
aut,2008,54.0
aut,2011,55.0
bgr,2005,34.5
bfa,2000,25.5
bfa,2001,23.1
bfa,2006,22.0
aze,1999,21.0
aze,2005,22.5
arg,2000,40.5
bhr,2000,34.1
bhr,2001,35.9
bhr,2003,35.6
blr,2003,51.6
blr,2006,55.3
col,2003,33.1
col,2004,32.4
col,2006,31.9
chl,2000,40.4
chl,2002,40.5
chl,2003,41.2
chl,2006,34.8
chl,2009,40.6
arm,2005,39.4
arm,2006,39.0
bel,1995,51.2
bel,1996,51.2
bel,2008,51.3
btn,2009,82.5
bol,2008,25.0
chn,2002,59.5
chn,2005,50.4
chn,2007,48.2
bih,2007,46.2
can,2005,50.6
bra,2007,48.1
irl,2002,38.3
irl,2005,40.7
fin,1999,48.1
fin,2001,47.7
fin,2010,50.6
dnk,1996,52.4
hnd,2004,44.7
hnd,2005,44.5
fra,2005,52.0
gab,2005,21.1
hrv,2004,50.8
egy,2001,28.4
hun,1996,53.1
hun,1998,51.7
hun,1999,50.9
hun,2003,54.0
hun,2004,53.9
hun,2006,53.3
cub,2005,37.8
cyp,1999,43.2
cyp,2008,43.9
ind,1997,27.2
ind,1998,28.8
est,2003,44.3
est,2006,44.3
est,2008,51.2
fji,1999,43.6
ind,2001,31.1
ind,2002,31.0
cze,1997,44.0
civ,1997,22.9
mda,2007,50.1
mng,2009,30.7
mar,1998,30.2
kor,1996,52.9
moz,2008,24.7
isr,1996,52.1
isr,1999,51.5
kwt,1997,31.7
kwt,2002,34.4
kwt,2004,27.4
kwt,2005,22.6
nam,2002,42.8
nam,2003,45.3
nam,2008,38.6
npl,2007,39.2
kgz,1999,32.1
kgz,2000,30.7
nld,2002,51.3
nzl,1999,41.2
nzl,2005,43.1
nzl,2006,43.5
jam,2005,44.5
jam,2010,45.0
lva,1996,46.0
nor,1995,46.9
nor,2000,43.1
nor,2007,43.3
nor,2009,46.7
lso,1999,22.2
mlt,2000,43.8
ant,2002,55.1
nzl,2008,43.7
jpn,1998,54.8
jpn,2002,53.4
mus,2001,36.2
omn,2000,28.6
omn,2001,29.0
jor,1999,40.2
jor,2006,37.3
kaz,1997,38.6
kaz,2001,35.9
kaz,2006,31.6
lux,2004,47.1
lux,2007,43.0
lux,2009,46.7
ken,1997,32.6
ken,2003,37.2
mex,2005,29.6
svn,1998,51.2
svn,1999,50.3
svn,2000,51.5
pan,1999,36.5
pan,2000,37.8
pan,2002,35.7
zaf,2005,44.5
png,1995,26.6
prt,1995,48.1
prt,1996,48.7
prt,2006,49.7
prt,2009,51.6
qat,1996,34.0
qat,2000,21.0
sdn,1997,37.0
rou,1997,34.9
rou,1998,42.5
rou,2001,45.8
esp,2004,47.7
swe,1999,52.7
swe,2003,55.4
sen,1997,19.1
sen,2000,18.5
sen,2002,19.6
lka,2007,52.2
sen,2006,20.8
sen,2007,20.5
srb,2001,45.9
sle,2001,46.8
sle,2005,55.0
sle,2007,33.7
sle,2008,34.9
phl,1999,27.1
phl,2002,24.5
phl,2006,27.8
pol,1995,39.8
pol,2000,40.2
pol,2001,41.0
svk,2000,40.7
svk,2004,36.8
svk,2007,36.3
tun,2008,35.4
che,1995,64.6
che,2010,65.9
gbr,2007,53.5
tjk,2002,20.6
tjk,2003,13.9
are,2007,21.7
tza,1999,17.0
mkd,1998,51.9
mkd,2003,43.9
mkd,2009,38.4
usa,2000,58.5
ven,2000,32.8
aut,2004,54.5
aut,2006,53.3
aut,2007,53.0
bfa,1999,24.1
bfa,2004,22.9
aze,1996,18.8
aze,1998,19.3
arg,1997,37.1
bhr,1997,36.6
bhr,2007,31.0
blr,1996,48.1
col,2000,32.8
arm,2008,37.2
can,1996,51.2
btn,2005,77.5
btn,2006,90.4
bol,2000,36.1
bol,2002,35.2
bol,2003,34.5
bol,2006,27.3
chn,2004,50.7
bih,2006,45.2
bwa,1997,25.9
bdi,2005,37.4
bdi,2006,17.2
irl,2007,41.6
fin,1998,48.1
fin,2000,47.2
fin,2002,47.7
fin,2004,48.2
cri,2005,46.9
cri,2008,47.8
fra,2006,51.9
geo,2004,16.7
hrv,1997,50.6
hrv,2000,52.9
cub,1999,38.7
cub,2003,36.5
egy,2008,24.9
deu,1997,52.8
deu,2000,53.4
deu,2005,50.4
cyp,2004,45.1
fji,2002,37.6
grc,2004,35.0
grc,2005,35.2
irn,2007,20.7
irq,2004,21.2
cze,1995,43.0
cze,2007,42.9
civ,1995,21.4
mda,1999,33.9
mng,2004,22.3
mng,2005,21.5
mar,1999,31.3
kor,1995,51.5
kor,2002,49.0
kor,2006,51.5
isr,2000,51.3
kwt,1998,39.6
npl,2002,44.8
npl,2008,38.9
kgz,2009,28.5
kgz,2010,29.6
nld,1996,50.8
nld,2005,49.6
ita,1995,41.3
ita,1998,39.7
ita,2002,39.8
ita,2004,39.9
nzl,2000,41.0
nzl,2004,42.3
nor,2008,42.9
lso,2001,18.9
lso,2003,17.1
mlt,2007,42.9
ant,1999,60.2
jpn,2000,53.9
jpn,2008,53.2
ltu,2001,42.6
mus,1996,40.1
mus,2005,34.0
mus,2007,33.2
jor,1995,38.3
jor,2008,37.6
kaz,1999,35.6
kaz,2007,34.5
lux,1996,47.0
lux,2008,43.6
ken,1996,31.4
ken,1999,34.4
ken,2008,33.9
ken,2009,34.0
mex,2007,28.1
mex,2008,28.0
mac,1999,35.8
mac,2000,33.9
mac,2009,29.4
ner,2007,16.2
nga,1998,4.4
nga,2005,5.2
mdv,1997,26.0
svn,2003,50.9
svn,2004,51.1
svn,2008,50.8
zaf,1996,49.9
zaf,1999,49.7
pan,2007,32.4
png,1998,22.9
prt,1997,48.8
prt,1999,48.7
prt,2000,49.3
sdn,1995,35.6
sdn,2001,26.7
rou,1996,40.1
esp,2000,49.5
esp,2002,48.7
rou,2009,45.1
swe,2001,56.5
rus,2006,44.5
sen,1996,15.7
lka,1999,46.3
lka,2008,52.8
srb,2004,48.4
srb,2009,44.6
sle,2004,54.2
phl,2005,27.7
omn,2007,26.0
pol,1999,41.5
pol,2003,38.2
pol,2004,36.2
pol,2005,35.8
che,1997,64.1
che,2004,65.2
gbr,2000,54.5
gbr,2002,54.6
gbr,2009,55.5
ukr,2000,49.9
ukr,1995,48.7
tza,2009,12.8
mkd,2002,44.3
mkd,2007,34.0
tto,1999,43.2
usa,2005,56.2
usa,2006,56.1
ury,1998,39.3
ven,2005,28.5
aut,1996,58.6
aut,2000,57.0
aut,2002,55.5
bgr,2000,36.3
bgr,2002,35.3
bgr,2006,33.6
bgr,2008,35.2
aze,2001,20.1
arg,2005,38.5
arg,2006,41.5
bhr,2005,31.4
blr,2004,51.6
blr,2005,53.6
col,2001,33.3
col,2005,32.1
col,2008,31.6
chl,1998,40.3
chl,2005,37.5
chl,2007,35.2
bel,1997,50.9
bel,1999,51.4
bel,2001,52.3
bel,2005,50.3
bel,2007,50.1
can,1997,51.3
chn,2006,49.3
bih,2005,45.5
bih,2008,48.8
cmr,1997,20.2
cmr,2002,19.6
aus,1996,50.7
aus,1999,50.1
aus,2005,48.7
can,2001,51.4
bra,2005,46.7
irl,2006,41.0
fin,2008,49.4
dnk,2003,54.4
dnk,2005,53.3
dnk,2007,54.8
hnd,2001,43.8
hkg,2000,51.1
hkg,2004,51.1
hkg,2005,49.9
hkg,2009,51.6
cri,2009,50.5
gab,2002,25.4
geo,2006,16.6
hrv,1996,50.3
hrv,2006,47.6
egy,2002,28.4
hun,1997,51.9
hun,2010,51.7
cub,1998,39.5
deu,2001,53.1
deu,2002,52.7
deu,2009,51.1
cyp,1997,44.8
cyp,2000,42.7
est,1999,46.5
fji,2000,43.8
ind,2008,29.3
grc,2003,34.8
grc,2006,34.9
irn,1998,25.5
mda,2000,36.4
mda,2001,40.5
mda,2008,53.7
mar,2002,32.9
kor,2004,49.8
isr,2001,53.0
isr,2004,49.3
isr,2006,49.8
kwt,1999,35.4
npl,2003,44.2
npl,2006,40.2
kgz,1998,32.6
kgz,2002,26.9
kgz,2005,24.3
nld,1998,50.9
nld,2004,51.1
ita,2006,41.0
ita,2007,40.9
nzl,1996,42.4
nzl,1997,42.5
nzl,2001,41.0
lva,1998,43.9
lva,1999,43.7
lva,2007,46.9
nor,2001,44.1
nor,2004,43.8
lbn,1997,35.5
lso,1997,16.8
lso,1998,21.6
ant,1996,63.0
ant,2006,57.4
jpn,2004,51.4
jpn,2007,51.5
ltu,2002,43.1
ltu,2006,47.2
mus,2003,35.2
omn,2006,24.9
ltu,2009,50.0
kaz,1995,37.3
kaz,2000,35.8
lux,2002,49.4
mac,2008,30.6
ner,2008,15.1
ner,2009,15.8
nga,2003,3.4
nga,2004,10.3
nga,2006,8.8
svn,1997,52.2
svn,2002,51.2
svn,2009,53.1
pan,1997,36.3
pan,1998,36.8
png,2003,18.4
png,2006,15.1
prt,2004,49.5
prt,2010,51.1
qat,1997,32.3
sdn,2005,26.4
sdn,2006,25.7
qat,2004,19.7
qat,2008,15.2
rou,2000,43.8
rou,2002,43.9
rou,2011,42.5
swe,2007,53.7
rus,2005,43.8
sen,1998,19.1
lka,2004,51.5
lka,2005,51.3
sen,2008,20.0
srb,2008,45.0
sle,2003,51.9
phl,1996,26.0
phl,2001,25.2
omn,2009,28.4
pol,2007,35.5
pol,2008,37.3
svk,1998,42.5
svk,2003,38.8
svk,2008,36.4
svk,2009,38.9
tun,2006,35.5
tun,2007,36.2
che,1998,63.5
che,2002,67.5
che,2007,64.2
che,2009,67.2
tjk,2007,13.7
tza,2001,15.8
mkd,1999,51.7
mkd,2006,38.9
mkd,2008,34.9
usa,2001,58.5
ury,2004,32.8
ven,1998,36.3
ven,2006,30.6
aut,1998,57.8
bgr,1999,38.4
aze,2007,15.2
arg,2003,34.3
bhr,1995,37.5
bhr,1998,40.1
blr,1997,47.8
blr,2001,55.4
chl,2001,40.7
bel,2002,52.5
bel,2006,50.1
can,1995,51.7
can,1999,51.2
btn,2004,88.8
btn,2008,76.4
bol,2007,27.0
chn,1995,60.0
bwa,1995,30.5
cmr,1999,20.0
cmr,2001,19.8
aus,2000,49.9
aus,2003,48.3
can,2004,50.9
can,2007,51.3
can,2008,51.2
can,2009,53.6
bra,2004,45.8
irl,2004,39.4
dnk,1999,53.7
dnk,2006,53.4
dnk,2008,56.4
fra,1995,51.8
fra,1998,51.2
hkg,1997,47.6
hkg,2003,52.7
hkg,2007,49.2
hkg,2008,48.9
cri,1998,44.9
cri,2006,46.5
fra,2007,51.4
fra,2008,51.6
gab,2004,24.4
geo,2008,23.2
geo,2010,29.0
hrv,1998,51.9
egy,1997,26.4
egy,2003,28.4
hun,1995,54.6
hun,2007,54.7
egy,2006,26.7
egy,2007,25.9
cub,2009,36.9
deu,1995,54.0
deu,1999,52.7
cyp,2001,42.3
ind,1996,28.0
ind,1999,29.3
est,2001,44.6
ind,2009,29.9
fji,2003,36.3
fji,2004,39.4
grc,2007,35.4
grc,2008,36.4
irn,2004,21.4
irq,2002,9.9
irq,2003,17.8
cze,2000,41.9
gtm,2006,31.6
gtm,2007,30.8
gtm,2008,30.4
civ,2000,22.0
mda,1996,49.9
mda,2004,48.6
mda,2006,50.8
mng,2000,22.8
mng,2002,24.9
kor,2003,50.0
kor,2010,49.9
mar,2007,32.6
kwt,2006,20.6
nam,2001,45.0
npl,2005,42.2
npl,2010,35.3
kgz,1995,37.8
kgz,2003,26.6
kgz,2008,26.3
ita,2001,39.5
nzl,1998,42.7
nzl,2007,42.8
jam,2007,45.7
nor,2003,45.7
lso,1996,16.9
lso,2002,17.4
mlt,2005,44.4
ant,2004,56.0
ant,2007,57.3
jpn,1999,54.2
jpn,2003,52.7
ltu,2003,43.4
mus,1997,39.4
mus,2004,34.4
mus,2008,33.7
mus,2009,34.1
omn,2002,29.2
jor,1997,39.6
jor,2001,38.1
ltu,2008,49.3
ltu,2010,46.1
ner,1998,15.7
kaz,2003,32.9
lux,2000,46.2
ken,2002,37.3
ken,2005,36.9
mex,2004,29.7
mex,2009,29.2
mac,2002,32.0
ner,2005,15.9
svn,2001,52.0
zaf,1998,50.2
zaf,2000,48.0
pan,2001,36.9
pan,2008,30.0
zaf,2003,45.5
prt,2008,49.8
qat,1999,29.9
qat,2001,22.9
sdn,2000,25.4
rou,2004,41.2
esp,2003,48.4
swe,2000,54.8
swe,2006,52.9
lka,2003,51.8
lka,2006,51.5
srb,2007,45.9
phl,1995,25.3
pol,2002,39.1
pol,2006,35.5
svk,2005,37.2
svk,2006,36.7
tun,2003,36.7
gbr,1995,52.6
gbr,1998,53.0
gbr,2001,55.2
gbr,2005,54.0
ukr,2003,50.9
ukr,2005,55.7
ukr,2007,55.4
tjk,2000,24.2
tjk,2006,13.6
are,2001,23.8
are,2006,19.4
tza,2000,16.4
tza,2007,12.0
mkd,2004,40.7
mkd,2005,37.4
